entry,subentry,fstHits.mXYZ.fX,fstHits.mXYZ.fY,fstHits.mXYZ.fZ,reco.mQATruth,reco.mIdTruth,reco.mChi2
0,0,2.9763989448547363,5.708104133605957,151.7640380859375,1,1,1.8415642
1,0,20.780773162841797,1.1487510204315186,153.1590576171875,1,1,1.841565
1,1,23.651390075683594,1.3074373006820679,180.1900634765625,1,2,0.112288415
1,2,0.19746904075145721,6.4344706535339355,151.7640380859375,1,3,1.8415642
2,0,-12.367856979370117,8.59738540649414,151.7640380859375,1,1,1.8320757
2,1,-14.72852611541748,10.23837947845459,180.1900634765625,1,3,1.8418612
2,2,-7.75092077255249,-9.405231475830078,165.2601318359375,1,6,7.145736e-11
3,0,8.442672729492188,3.929877519607544,151.7640380859375,1,5,1.8415644
4,0,0.3816095292568207,6.4261794090271,151.7640380859375,1,1,1.8415644
4,1,0.3816095292568207,6.4261794090271,178.7950439453125,1,2,7.2509974e-18
4,2,-8.959755897521973,2.5387864112854004,165.2620849609375,1,3,1.8321912
5,0,-14.802356719970703,2.7873194217681885,165.2620849609375,1,1,1.8415891
5,1,-6.4364094734191895,-0.11849332600831985,151.7640380859375,1,2,1.78699e-17
5,2,-6.4364094734191895,-0.11849332600831985,178.7950439453125,1,3,1.8320465
5,3,-14.716485977172852,-3.2099742889404297,178.7950439453125,1,4,1.832049
5,4,-25.726367950439453,-6.612139701843262,180.1900634765625,1,5,7.4500444e-16
5,5,3.8091158866882324,-14.572904586791992,165.2620849609375,1,7,1.599293
6,0,4.222978591918945,11.432480812072754,151.7640380859375,1,3,1.8416246
6,1,5.219168186187744,14.129373550415039,178.7950439453125,1,5,6.220971e-16
7,0,5.528385162353516,3.298236131668091,165.2620849609375,1,2,1.8320516
7,1,-8.88339614868164,-2.794266939163208,151.7640380859375,1,4,1.8415647
8,0,-9.312480926513672,-0.01904691569507122,151.7640380859375,1,1,1.842393
8,1,-9.312324523925781,-0.057140424847602844,178.7950439453125,1,2,0.015058679
8,2,-3.138604164123535,-5.620548725128174,151.7640380859375,1,5,1.8450502
9,0,13.549768447875977,6.578957557678223,151.7640380859375,1,1,6.756448e-07
9,1,1.5514096021652222,6.247762203216553,151.763916015625,1,24,6.458768e-20
9,2,-3.184481620788574,5.594683647155762,165.2620849609375,1,27,6.501399e-18
10,0,-22.816476821899414,6.364438533782959,166.6571044921875,1,1,3.4173574e-17
10,1,-0.8219727873802185,-12.159749984741211,151.7640380859375,1,2,1.2327054e-05
11,0,-4.342923164367676,-14.422826766967773,151.7640380859375,1,1,0.28227082
11,1,-1.282973289489746,-17.891559600830078,153.1590576171875,1,4,6.3163665e-18
11,2,-1.4886066913604736,-20.75919532775879,180.1900634765625,1,5,1.8416045
12,0,-5.09429407119751,-7.795564651489258,165.2620849609375,1,3,1.8062656
13,0,-6.244233131408691,-10.466361045837402,165.2620849609375,1,5,2.5907561e-15
14,0,13.782739639282227,6.075769901275635,151.7640380859375,1,1,1.841564
14,1,3.9709248542785645,5.066868782043457,165.2620849609375,1,2,1.8415637
14,2,18.57105255126953,9.395539283752441,180.1900634765625,1,8,1.8310381
14,3,23.526708602905273,2.7552976608276367,153.1590576171875,1,11,1.25290535e-05
14,4,26.382192611694336,3.0897135734558105,180.1900634765625,1,12,1.8425168
14,5,1.3681056499481201,12.110467910766602,151.7640380859375,1,16,1.8786404
14,6,1.6908382177352905,14.967296600341797,178.7950439453125,1,18,1.1329385e-19
14,7,-9.311545372009277,0.13332393765449524,165.2620849609375,1,22,1.1518489e-05
14,8,-8.566734313964844,3.6515369415283203,165.2620849609375,1,23,4.2580627e-06
14,9,-5.942423343658447,2.4756839275360107,165.2620849609375,1,28,0.00021529075
14,10,-3.9916183948516846,5.0505828857421875,178.7950439453125,1,29,1.852255
14,11,-6.42768669128418,-0.35531938076019287,151.7640380859375,1,48,1.8439878
14,12,-5.695881366729736,-2.9997236728668213,151.7640380859375,1,53,3.084117e-05
14,13,-7.91823673248291,-4.90144681930542,165.2620849609375,1,60,4.69745e-19
14,14,-11.02800464630127,-5.1882829666137695,178.7950439453125,1,64,4.2493455e-19
14,15,-8.735587120056152,-3.2267887592315674,178.7950439453125,1,66,1.1757743e-19
14,16,-8.112056732177734,-4.5735321044921875,178.7950439453125,1,67,1.8444699
14,17,-17.713037490844727,-15.727234840393066,166.6571044921875,1,71,1.7449536
14,18,-0.8533146381378174,-6.380694389343262,151.7640380859375,1,72,6.4641758e-18
14,19,-1.0158740282058716,-15.028203964233398,151.7640380859375,1,73,1.9191502
14,20,-1.0616282224655151,-6.349358558654785,151.7640380859375,1,79,8.6944164e-07
14,21,-2.353210210800171,-11.958158493041992,151.7640380859375,1,80,0.017461384
14,22,-6.467884540557861,-13.603137969970703,151.7640380859375,1,81,1.8415643
14,23,-1.1588506698608398,-9.24011516571045,151.7640380859375,1,91,1.9903287
14,24,-0.3816095292568207,-6.4261794090271,151.7640380859375,1,93,1.2025543e-05
14,25,-1.5258394479751587,-6.254056453704834,151.7640380859375,1,99,1.8239583
14,26,-1.4746230840682983,-6.266330242156982,151.7640380859375,1,103,1.8877303e-05
14,27,-2.0068199634552,-6.116704940795898,151.7640380859375,1,105,4.3698506e-05
14,28,3.689765453338623,-14.6035795211792,165.2618408203125,1,106,1.9489131
14,29,0.5233100056648254,-12.176259994506836,165.2620849609375,1,109,0.0056525697
15,0,-1.4457210302352905,14.992958068847656,165.2620849609375,1,1,1.8320748
15,1,-11.986135482788086,-2.2062878608703613,151.7640380859375,1,4,1.8415648
