,fX,fY,fZ,mQATruth
0,"[2.9763989448547363, 4.305664539337158, 4.305664539337158]","[5.708104133605957, 8.257354736328125, 8.257354736328125]","[151.7640380859375, 178.7950439453125, 168.745849609375]",1
1,"[20.780773162841797, 23.651390075683594, 0.19746904075145721, 0.22378826141357422, -5.178481101989746, -7.491200923919678, 0.22378826141357422, -7.491200923919678, 23.651390075683594]","[1.1487510204315186, 1.3074373006820679, 6.4344706535339355, 6.4336090087890625, 3.824230670928955, 5.532139778137207, 6.4336090087890625, 5.532139778137207, 1.3074373006820679]","[153.1590576171875, 180.1900634765625, 151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 168.7459716796875, 168.745849609375, 167.3509521484375]",0
2,"[-12.367856979370117, -14.72852611541748, -7.75092077255249, -3.047456741333008, 8.017019271850586, 9.90821361541748, -14.72852611541748, -10.874940872192383, -4.032804012298584, -9.80392074584961, -11.520631790161133, 8.017019271850586]","[8.59738540649414, 10.23837947845459, -9.405231475830078, -8.799753189086914, -9.179464340209961, -11.344876289367676, 10.23837947845459, -5.50189208984375, -5.017757892608643, -7.240048408508301, -13.748780250549316, -9.179464340209961]","[151.7640380859375, 180.1900634765625, 165.2601318359375, 178.793212890625, 151.7640380859375, 178.7950439453125, 167.3509521484375, 168.7449951171875, 182.2789306640625, 182.27880859375, 153.8509521484375, 168.745849609375]",0
3,"[8.442672729492188, 11.049135208129883, 11.049135208129883]","[3.929877519607544, 5.143128395080566, 5.143128395080566]","[151.7640380859375, 178.7950439453125, 168.745849609375]",1
4,"[0.3816095292568207, 0.3816095292568207, -8.959755897521973, 8.628220558166504, 0.3816095292568207, -6.1936564445495605, -8.959755897521973, 8.628220558166504, 9.820107460021973]","[6.4261794090271, 6.4261794090271, 2.5387864112854004, -18.93974494934082, 6.4261794090271, 1.7549999952316284, 2.5387864112854004, -18.93974494934082, -21.556047439575195]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 166.6571044921875, 168.7459716796875, 155.2479248046875, 182.2789306640625, 153.8529052734375, 180.8839111328125]",0
5,"[-14.802356719970703, -6.4364094734191895, -6.4364094734191895, -14.716485977172852, -25.726367950439453, 3.8091158866882324, 17.509658813476562, -14.802356719970703, -15.045836448669434, -6.4364094734191895, -14.980628967285156, -25.726367950439453, -17.627702713012695, 3.082064628601074, 3.8091158866882324, 17.509658813476562, 20.316083908081055]","[2.7873194217681885, -0.11849332600831985, -0.11849332600831985, -3.2099742889404297, -6.612139701843262, -14.572904586791992, -3.8943240642547607, 2.7873194217681885, 0.7083100080490112, -0.11849332600831985, -1.5683320760726929, -6.612139701843262, 3.3193390369415283, -11.791354179382324, -14.572904586791992, -3.8943240642547607, -4.518501281738281]","[165.2620849609375, 151.7640380859375, 178.7950439453125, 178.7950439453125, 180.1900634765625, 165.2620849609375, 166.6571044921875, 155.2479248046875, 155.2479248046875, 168.7459716796875, 168.745849609375, 167.3509521484375, 180.8839111328125, 155.2479248046875, 182.2789306640625, 153.8529052734375, 180.8839111328125]",0
6,"[4.222978591918945, 5.219168186187744, -6.200783729553223, 5.219168186187744, 4.616703033447266, -6.200783729553223, -6.200783729553223, -4.616703033447266]","[11.432480812072754, 14.129373550415039, 1.729649543762207, 14.129373550415039, 4.486363887786865, 1.729649543762207, 1.729649543762207, -4.486363887786865]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 168.745849609375, 182.27734375, 155.2479248046875, 182.2789306640625, 182.2789306640625]",0
7,"[5.528385162353516, -8.88339614868164, -11.625921249389648, 5.528385162353516, 7.997373104095459, -11.625921249389648]","[3.298236131668091, -2.794266939163208, -3.6569266319274902, 3.298236131668091, 4.771234512329102, -3.6569266319274902]","[165.2620849609375, 151.7640380859375, 178.7950439453125, 155.2479248046875, 182.2789306640625, 168.745849609375]",0
8,"[-9.312480926513672, -9.312324523925781, -3.138604164123535, -3.01143479347229, -4.507013320922852, -3.8939309120178223, -5.7794294357299805, -9.312324523925781, -4.507013320922852, -2.3536336421966553, -3.8939309120178223]","[-0.01904691569507122, -0.057140424847602844, -5.620548725128174, -8.812146186828613, -8.149201393127441, -11.548699378967285, -2.835418701171875, -0.057140424847602844, -8.149201393127441, -5.991812229156494, -11.548699378967285]","[151.7640380859375, 178.7950439453125, 151.7640380859375, 151.7640380859375, 178.7950439453125, 178.7950439453125, 168.7457275390625, 168.745849609375, 168.745849609375, 168.74560546875, 168.745849609375]",0
9,"[13.549768447875977, 1.5514096021652222, -3.184481620788574, -4.166021823883057, -9.436859130859375, -3.4329161643981934, -17.37558364868164, 11.949179649353027, -2.9763989448547363, -3.252897262573242, -3.715111494064331, 22.117656707763672]","[6.578957557678223, 6.247762203216553, 5.594683647155762, 26.2337703704834, 7.712382793426514, 5.445777416229248, 11.456406593322754, 17.04045867919922, 5.708104133605957, 5.5551838874816895, 23.394350051879883, 8.4797945022583]","[151.7640380859375, 151.763916015625, 165.2620849609375, 166.6571044921875, 151.7640380859375, 178.7950439453125, 180.1900634765625, 153.852783203125, 155.2479248046875, 168.7459716796875, 153.8529052734375, 167.350830078125]",0
10,"[-22.816476821899414, -0.8219727873802185, -0.8219727873802185, -20.04719352722168, -25.585758209228516, -0.8219727873802185]","[6.364438533782959, -12.159749984741211, -12.159749984741211, 5.591973781585693, 7.136903285980225, -12.159749984741211]","[166.6571044921875, 151.7640380859375, 178.7950439453125, 153.8529052734375, 180.8839111328125, 168.745849609375]",0
11,"[-4.342923164367676, -1.282973289489746, -1.4886066913604736, -5.171862602233887, -5.382246017456055, -5.2420783042907715, -5.312206745147705, -4.8195085525512695, -7.0515851974487305, -5.031172275543213, 5.623651504516602, 5.593240737915039, -23.526708602905273, -5.2420783042907715, -1.4886066913604736, 5.593240737915039]","[-14.422826766967773, -17.891559600830078, -20.75919532775879, -17.175731658935547, -17.110971450805664, -17.15443229675293, -17.132844924926758, -17.277912139892578, -19.581504821777344, -17.21746826171875, -7.422748565673828, -7.445690631866455, -2.7552976608276367, -17.15443229675293, -20.75919532775879, -7.445690631866455]","[151.7640380859375, 153.1590576171875, 180.1900634765625, 180.1900634765625, 180.1900634765625, 180.1900634765625, 180.1900634765625, 180.1898193359375, 180.189697265625, 180.1900634765625, 151.7640380859375, 178.7950439453125, 167.3494873046875, 167.3509521484375, 167.3509521484375, 168.745849609375]",0
12,"[-5.09429407119751, -5.09429407119751, -5.0623626708984375]","[-7.795564651489258, -7.795564651489258, -7.816338062286377]","[165.2620849609375, 155.2479248046875, 182.2789306640625]",1
13,"[-6.244233131408691, -4.273299217224121, -6.244233131408691, -6.244233131408691]","[-10.466361045837402, -26.216508865356445, -10.466361045837402, -10.466361045837402]","[165.2620849609375, 153.1590576171875, 155.2479248046875, 182.2789306640625]",1
14,"[13.782739639282227, 3.9709248542785645, 18.57105255126953, 23.526708602905273, 26.382192611694336, 1.3681056499481201, 1.6908382177352905, -9.311545372009277, -8.566734313964844, -5.942423343658447, -3.9916183948516846, -6.42768669128418, -5.695881366729736, -7.91823673248291, -11.02800464630127, -8.735587120056152, -8.112056732177734, -17.713037490844727, -0.8533146381378174, -1.0158740282058716, -1.0616282224655151, -2.353210210800171, -6.467884540557861, -1.1588506698608398, -0.3816095292568207, -1.5258394479751587, -1.4746230840682983, -2.0068199634552, 3.689765453338623, 0.5233100056648254, 1.9355027675628662, -1.0453729629516602, -1.4229238033294678, -1.417633295059204, -0.7226403951644897, -0.17114652693271637, -2.207282304763794, -1.5002437829971313, -2.10663104057312, -1.5755385160446167, 7.846466541290283, -1.4036766290664673, -3.607314348220825, -1.3074373006820679, 0.8936524987220764, 5.098306655883789, -8.16306209564209, 3.477353811264038, 4.094076156616211, 5.893051624298096, 3.866468667984009, 1.6908382177352905, 6.154465198516846, -4.313395977020264, -8.860239028930664, -8.239672660827637, -8.596321105957031, -9.293787956237793, -5.594683647155762, -9.095973014831543, -7.91823673248291, -5.330540180206299, -0.7749494314193726, -1.460558295249939, -2.968757390975952, -1.417633295059204, -2.3781239986419678, -0.22378826141357422, -2.207282304763794, -1.4746230840682983, -2.0817301273345947, -15.33499526977539, -7.9664411544799805, -20.077831268310547, -1.2097753286361694, -1.4886066913604736, 0.37384915351867676, 1.417633295059204, 5.623651504516602, 0.8928921818733215, 0.5502293109893799, 4.108901023864746, 1.3074373006820679, 2.6682629585266113, 6.421374320983887, 9.288137435913086, 26.382192611694336, 16.167945861816406]","[6.075769901275635, 5.066868782043457, 9.395539283752441, 2.7552976608276367, 3.0897135734558105, 12.110467910766602, 14.967296600341797, 0.13332393765449524, 3.6515369415283203, 2.4756839275360107, 5.0505828857421875, -0.35531938076019287, -2.9997236728668213, -4.90144681930542, -5.1882829666137695, -3.2267887592315674, -4.5735321044921875, -15.727234840393066, -6.380694389343262, -15.028203964233398, -6.349358558654785, -11.958158493041992, -13.603137969970703, -9.24011516571045, -6.4261794090271, -6.254056453704834, -6.266330242156982, -6.116704940795898, -14.6035795211792, -12.176259994506836, -14.937627792358398, -9.253640174865723, -9.20314884185791, -12.10477066040039, -6.396811485290527, -6.435224533081055, -9.04712963104248, -6.2602458000183105, -6.0830512046813965, -17.86817169189453, -19.276750564575195, -20.765111923217773, -17.571033477783203, -23.651390075683594, -20.793304443359375, -20.178390502929688, -15.972423553466797, -5.417510032653809, -4.967891693115234, -7.210728168487549, 5.147021293640137, 14.967296600341797, 6.9889349937438965, 4.77870512008667, 2.866849660873413, -4.3394060134887695, -3.581329107284546, 0.590059220790863, 3.184481620788574, -12.005922317504883, -4.90144681930542, -3.6092588901519775, -6.390685558319092, -9.197251319885254, -14.767037391662598, -12.10477066040039, -5.9821343421936035, -6.4336090087890625, -9.04712963104248, -6.266330242156982, -6.091617584228516, -14.071179389953613, -16.071393966674805, -17.39100456237793, -17.896657943725586, -20.75919532775879, -12.181764602661133, -12.10477066040039, -7.422748565673828, -15.036011695861816, -17.929058074951172, -17.46055030822754, -23.651390075683594, -17.737934112548828, -16.748727798461914, -21.790552139282227, 3.0897135734558105, 7.768620491027832]","[151.7640380859375, 165.2620849609375, 180.1900634765625, 153.1590576171875, 180.1900634765625, 151.7640380859375, 178.7950439453125, 165.2620849609375, 165.2620849609375, 165.2620849609375, 178.7950439453125, 151.7640380859375, 151.7640380859375, 165.2620849609375, 178.7950439453125, 178.7950439453125, 178.7950439453125, 166.6571044921875, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 165.2618408203125, 165.2620849609375, 165.2620849609375, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 153.1590576171875, 166.6571044921875, 180.1900634765625, 180.1900634765625, 180.1900634765625, 166.6571044921875, 166.6571044921875, 180.1900634765625, 151.7640380859375, 178.7950439453125, 178.7950439453125, 155.2479248046875, 168.745849609375, 182.2789306640625, 168.745849609375, 155.2479248046875, 168.7430419921875, 168.745849609375, 182.2789306640625, 182.2789306640625, 155.2471923828125, 155.2479248046875, 155.2479248046875, 168.7459716796875, 168.745849609375, 168.745849609375, 168.745849609375, 168.745849609375, 168.7459716796875, 168.745849609375, 168.7459716796875, 168.7459716796875, 153.8529052734375, 167.3509521484375, 180.8839111328125, 167.3509521484375, 167.350830078125, 155.2479248046875, 155.2479248046875, 168.745849609375, 182.2789306640625, 153.8529052734375, 153.8529052734375, 180.8839111328125, 180.8839111328125, 153.8529052734375, 180.8839111328125, 167.3509521484375, 167.350830078125]",0
15,"[-1.4457210302352905, -11.986135482788086, -0.013166659511625767, -0.01904691569507122, 4.761020660400391, 4.761020660400391, -1.4457210302352905, -1.721667766571045, -8.566734313964844, -0.01904691569507122, -5.330540180206299, 4.761020660400391]","[14.992958068847656, -2.2062878608703613, -6.43748664855957, -9.312480926513672, -4.332907676696777, -4.332907676696777, 14.992958068847656, 17.854684829711914, -3.6515369415283203, -9.312480926513672, -3.6092588901519775, -4.332907676696777]","[165.2620849609375, 151.7640380859375, 151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 155.2479248046875, 180.8839111328125, 168.745849609375, 168.745849609375, 182.2789306640625, 168.7459716796875]",0
16,"[-2.764282703399658, -2.764282703399658, 22.921875, -2.764282703399658]","[-5.813789367675781, -5.813789367675781, -13.422148704528809, -5.813789367675781]","[151.7640380859375, 178.7950439453125, 153.1590576171875, 168.7459716796875]",1
17,"[12.302245140075684, 17.788793563842773, 26.394611358642578, 5.854764461517334, 2.523057222366333, -20.498769760131836, -11.803862571716309, -4.274156093597412, -10.54219913482666, -7.282501697540283, -10.616449356079102, -14.588363647460938, -24.602458953857422, -26.328107833862305, 3.322572708129883, -0.514005720615387, 5.341841697692871, 7.774660587310791, 8.775030136108398, 8.239672660827637, 20.19907569885254, 26.561111450195312, 13.889120101928711, 3.6299972534179688, 10.809096336364746, 13.888131141662598, -10.567126274108887, -14.742255210876465, -14.729494094848633, -11.803862571716309, -17.703853607177734, -21.556047439575195, -20.437122344970703, -4.254428863525391, -10.466361045837402, -7.210728168487549, -0.7800090909004211, -4.293811798095703, -7.353178977966309, 3.751917600631714, 11.425557136535645, 2.9083263874053955, 4.573675155639648, 11.306888580322266, 23.491125106811523, 25.30573081970215, 17.815738677978516, 20.810367584228516]","[20.242341995239258, 2.3049349784851074, 2.9817686080932617, 10.689101219177246, 17.75916862487793, 3.6000781059265137, -3.0338051319122314, -4.813833713531494, -6.115324974060059, -5.804121017456055, -5.985495567321777, -3.749472141265869, -10.014259338378906, -3.520958423614502, -11.725854873657227, -9.298303604125977, -26.019821166992188, -5.1261396408081055, -8.45777702331543, -4.3394060134887695, -5.015722274780273, 0.2716377079486847, -11.351045608520508, 14.618551254272461, 17.78548812866211, 22.642574310302734, -6.072149753570557, -3.0894691944122314, -3.1497480869293213, -3.0338051319122314, 2.8857338428497314, -9.820107460021973, 3.9349915981292725, -4.831277370452881, -6.244233131408691, -5.893051624298096, -9.279775619506836, -4.796309471130371, -5.7143168449401855, -11.595614433288574, -9.815067291259766, -14.779057502746582, -23.24175453186035, -4.5485639572143555, 3.0437989234924316, -8.073807716369629, -2.086465358734131, -0.2979655861854553]","[166.6571044921875, 153.1590576171875, 180.1900634765625, 151.7640380859375, 180.1900634765625, 166.6571044921875, 151.7640380859375, 165.2620849609375, 165.2620849609375, 165.2620849609375, 178.7950439453125, 178.7950439453125, 153.1590576171875, 153.1590576171875, 165.248291015625, 178.7950439453125, 166.6571044921875, 151.7640380859375, 151.7640380859375, 165.2620849609375, 166.6571044921875, 166.6571044921875, 180.1900634765625, 168.7408447265625, 153.8529052734375, 180.8839111328125, 168.745849609375, 168.7457275390625, 168.7445068359375, 168.745849609375, 153.8529052734375, 167.350341796875, 180.8839111328125, 155.2479248046875, 155.2479248046875, 155.2479248046875, 168.745849609375, 182.2789306640625, 182.2789306640625, 155.2479248046875, 168.745849609375, 182.2789306640625, 153.8529052734375, 182.2789306640625, 167.350830078125, 180.8839111328125, 153.8529052734375, 153.8529052734375]",0
18,"[1.2429776191711426, 3.1552135944366455, 0.19746904075145721, -2.929600477218628, -0.057140424847602844, 0.9054874181747437, 3.9882822036743164, 1.2002167701721191, -4.43535852432251, -4.738480567932129, 3.6527481079101562, 1.0096477270126343, 4.03535795211792, 4.082366466522217, -2.596698522567749, -1.3185549974441528, -0.39986252784729004, -4.43535852432251, -5.048050880432129, -5.952500820159912, 3.6527481079101562]","[6.316360950469971, 8.761693954467773, 6.4344706535339355, 5.732263565063477, 9.312324523925781, 6.373499870300293, 11.51645565032959, 15.014605522155762, 20.33439826965332, 8.016823768615723, -5.300833702087402, 6.357831001281738, 11.500044822692871, 11.483442306518555, 5.8905487060546875, 12.115962982177734, 9.303911209106445, 20.33439826965332, 23.143354415893555, 2.45135498046875, -5.300833702087402]","[151.7640380859375, 151.7640380859375, 151.7640380859375, 165.2620849609375, 165.2620849609375, 178.7950439453125, 178.7950439453125, 178.7950439453125, 166.6571044921875, 178.7950439453125, 178.7950439453125, 168.7459716796875, 168.745849609375, 168.745849609375, 155.2479248046875, 182.2786865234375, 182.2789306640625, 153.8529052734375, 180.8839111328125, 182.2789306640625, 168.7459716796875]",0
19,"[-2.788041353225708, -2.788041353225708]","[-5.802433013916016, -5.802433013916016]","[178.7950439453125, 168.7459716796875]",1
20,"[7.6247100830078125, 3.161569356918335, -1.8561040163040161, 3.161569356918335, 3.5354080200195312, 4.1020588874816895, -6.678531169891357, -6.183002948760986, 9.137259483337402, 7.6247100830078125, 3.161569356918335, 7.6247100830078125, 4.1020588874816895, -1.8561040163040161, -1.8813034296035767, 9.129827499389648, 9.137259483337402]","[5.346630096435547, 5.607663154602051, 6.164112567901611, 5.607663154602051, 17.585641860961914, 20.404247283935547, 6.489982604980469, 6.963701248168945, -1.7980939149856567, 5.346630096435547, 5.607663154602051, 5.346630096435547, 20.404247283935547, 6.164112567901611, 6.156468391418457, -1.8354557752609253, -1.7980939149856567]","[165.2620849609375, 151.7640380859375, 165.2620849609375, 178.7950439453125, 153.1590576171875, 180.1900634765625, 151.763916015625, 178.7950439453125, 165.2620849609375, 155.2479248046875, 168.7459716796875, 182.2789306640625, 167.3509521484375, 155.2479248046875, 182.2789306640625, 155.2479248046875, 182.2789306640625]",0
21,"[11.817383766174316, -2.3781239986419678, -1.2490943670272827, 7.702418804168701, 11.817383766174316, 14.072983741760254, -2.3781239986419678, -2.3781239986419678, 7.875387668609619]","[9.339612007141113, 5.9821343421936035, -26.53311538696289, -16.199588775634766, 9.339612007141113, 11.122276306152344, 5.9821343421936035, 5.9821343421936035, -12.839672088623047]","[165.2620849609375, 165.2620849609375, 153.1573486328125, 166.6553955078125, 155.2479248046875, 180.8839111328125, 155.2479248046875, 182.2789306640625, 168.7442626953125]",0
22,"[-19.881826400756836, -19.433191299438477, -21.308557510375977, -23.894819259643555, -18.93903923034668, -15.095392227172852, -22.294923782348633, -17.06636619567871, -19.009700775146484, -23.894819259643555, -16.640369415283203, -15.21315860748291, -18.93903923034668, -14.975353240966797]","[12.876748085021973, 7.450584411621094, -10.346160888671875, -11.601896286010742, -14.227103233337402, -9.689325332641602, 14.439624786376953, 5.522052764892578, 8.472983360290527, -11.601896286010742, -12.500330924987793, -9.503352165222168, -14.227103233337402, -9.87384033203125]","[153.1590576171875, 166.6571044921875, 153.1590576171875, 180.1900634765625, 166.6571044921875, 166.6571044921875, 167.3509521484375, 153.8529052734375, 180.8839111328125, 167.3509521484375, 153.8529052734375, 153.8529052734375, 180.8839111328125, 180.8839111328125]",0
23,"[11.655449867248535, 14.404940605163574, -5.1940813064575195, -20.038347244262695, 6.369742393493652, -5.1940813064575195, -5.16279411315918, -7.513767719268799, -17.606252670288086, -20.038347244262695, 6.369742393493652, 11.655449867248535, 9.214481353759766]","[3.5616908073425293, 4.40188455581665, -3.8030154705047607, -12.631797790527344, -0.9315512776374817, -3.8030154705047607, -3.845381736755371, -5.5014495849609375, -11.098650932312012, -12.631797790527344, -0.9315512776374817, 3.5616908073425293, -1.3475838899612427]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 166.6571044921875, 165.2620849609375, 155.2479248046875, 155.247802734375, 182.2789306640625, 153.8529052734375, 180.8839111328125, 155.2479248046875, 168.745849609375, 182.2789306640625]",0
24,"[25.928937911987305, 9.377196311950684, 9.1095552444458, -19.82898712158203, -19.775814056396484, -1.7803211212158203, 8.317178726196289, -19.82898712158203]","[5.7668561935424805, 21.752376556396484, 21.86581039428711, 12.957968711853027, 13.038972854614258, -6.186425685882568, 19.07838249206543, 12.957968711853027]","[153.1590576171875, 153.1571044921875, 180.188232421875, 153.1568603515625, 180.1878662109375, 178.7950439453125, 167.348876953125, 167.3487548828125]",0
25,"[0.46043989062309265, 0.6660732626914978, 12.088157653808594, 0.46043989062309265]","[6.4210124015808105, 9.288649559020996, 23.652544021606445, 6.4210124015808105]","[151.7640380859375, 178.7950439453125, 153.1590576171875, 168.7459716796875]",1
26,"[9.53171443939209, -15.581795692443848, 3.5616908073425293, 11.948432922363281, 9.53171443939209, 11.40776538848877, -19.57168960571289, -15.581795692443848, -17.472990036010742, 3.5616908073425293, 4.46077299118042, 11.948432922363281, 11.948432922363281]","[11.662989616394043, -17.84111213684082, -11.655449867248535, -2.402106523513794, 11.662989616394043, 13.842571258544922, -17.958711624145508, -17.84111213684082, -20.00652503967285, -11.655449867248535, -14.38681411743164, -2.402106523513794, -2.402106523513794]","[165.2620849609375, 166.6571044921875, 165.2620849609375, 165.2620849609375, 155.2479248046875, 180.8839111328125, 153.8529052734375, 153.8529052734375, 180.8839111328125, 155.2479248046875, 182.2789306640625, 155.2479248046875, 182.2789306640625]",0
27,"[13.51028823852539, -2.426985263824463, -15.062216758728027, -4.053296089172363, 13.51028823852539, 15.675700187683105, -2.426985263824463, -4.053296089172363, -3.5461349487304688, -4.362954616546631, -15.062216758728027, -15.062216758728027]","[11.799407958984375, 5.9624786376953125, 0.0924217626452446, 5.001219272613525, 11.799407958984375, 13.690601348876953, 5.9624786376953125, 5.001219272613525, 8.610898971557617, 11.379796981811523, 0.0924217626452446, 0.0924217626452446]","[166.6571044921875, 165.2620849609375, 165.2620849609375, 178.7950439453125, 153.8529052734375, 180.8839111328125, 155.2479248046875, 168.7459716796875, 182.2789306640625, 182.2786865234375, 155.2479248046875, 182.2789306640625]",0
28,"[-10.628989219665527, -10.628989219665527, -10.628989219665527]","[10.672557830810547, 10.672557830810547, 10.672557830810547]","[151.7640380859375, 178.7950439453125, 168.745849609375]",1
29,"[-9.178635597229004, -5.359889507293701, -12.012308120727539, 11.739347457885742, -12.012308120727539, -5.359889507293701, -7.753626346588135, 8.97006607055664, 11.739347457885742]","[-1.573312759399414, -3.565528154373169, -2.0590333938598633, -3.2745790481567383, -2.0590333938598633, -3.565528154373169, -5.157899856567383, -2.5021142959594727, -3.2745790481567383]","[151.7640380859375, 165.2620849609375, 178.7950439453125, 165.2620849609375, 168.745849609375, 155.2479248046875, 182.2789306640625, 155.2479248046875, 182.2789306640625]",0
30,"[7.491200923919678, 7.468508243560791, 7.491200923919678]","[-5.532139778137207, -5.562736988067627, -5.532139778137207]","[151.7640380859375, 178.7950439453125, 168.745849609375]",1
31,"[2.5484201908111572, -21.748334884643555, 8.207737922668457, 2.5484201908111572, -19.39439582824707, 8.207737922668457, 9.203927993774414]","[5.911595344543457, -15.250454902648926, -22.220050811767578, 5.911595344543457, -13.599817276000977, -22.220050811767578, -24.91694450378418]","[178.7950439453125, 166.6571044921875, 166.6571044921875, 168.7459716796875, 153.8529052734375, 153.8529052734375, 180.8839111328125]",0
32,"[6.361907958984375, -5.445777416229248, -6.31122350692749, -9.137259483337402, -9.129827499389648, -6.234860897064209]","[0.9836319088935852, 3.4329161643981934, -1.2688050270080566, -1.7980939149856567, -1.8354557752609253, 1.6024714708328247]","[178.7950439453125, 178.8043212890625, 151.7640380859375, 178.7950439453125, 168.745849609375, 182.277587890625]",1
33,"[-16.800701141357422, -22.220050811767578, -23.665653228759766, -26.538002014160156, -19.52315902709961]","[-6.284135818481445, -8.207737922668457, -1.0170999765396118, -1.1405473947525024, -7.2115478515625]","[153.1590576171875, 180.1900634765625, 153.1590576171875, 167.3509521484375, 167.3509521484375]",0
34,"[-20.704341888427734, -18.463401794433594, -20.704341888427734]","[-16.64021110534668, -14.839153289794922, -16.64021110534668]","[166.6571044921875, 153.8529052734375, 180.8839111328125]",1
35,"[-6.6252121925354, -23.66129493713379, -26.53311538696289, -23.66129493713379, -6.6252121925354, -6.6252121925354]","[-6.544403553009033, -1.1138982772827148, -1.2490943670272827, -1.1138982772827148, -6.544403553009033, -6.544403553009033]","[165.2620849609375, 153.1590576171875, 180.1900634765625, 167.3509521484375, 155.2479248046875, 182.2789306640625]",0
36,"[0.6440872550010681, -8.393811225891113, -12.500839233398438, -14.5044584274292, -5.459774494171143, 1.721667766571045, -1.7042701244354248, -14.5044584274292, -5.802433013916016, -8.393811225891113, -5.459774494171143, -7.877872467041016, 1.721667766571045, 1.9976145029067993]","[6.405197620391846, 4.033185958862305, 12.86401653289795, 14.9258451461792, -3.4106109142303467, -17.854684829711914, 6.2078070640563965, 14.9258451461792, 2.788041353225708, 4.033185958862305, -3.4106109142303467, -4.966063022613525, -17.854684829711914, -20.716411590576172]","[178.7950439453125, 165.2620849609375, 153.1590576171875, 180.1900634765625, 165.2620849609375, 166.6571044921875, 182.2781982421875, 167.3509521484375, 155.2479248046875, 182.2789306640625, 155.2479248046875, 182.2789306640625, 153.8529052734375, 180.8839111328125]",0
37,"[0.6702830195426941, 0.7226403951644897, 0.27725136280059814, 0.6964675188064575, 0.27725136280059814]","[6.4025092124938965, 6.396811485290527, -15.059947967529297, 6.39971399307251, -15.059947967529297]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 168.7459716796875, 155.2479248046875]",0
38,"[-7.925254821777344, 7.359812259674072, 9.046785354614258, -7.925254821777344, -8.930362701416016, 9.095973014831543]","[19.24449348449707, -9.714335441589355, -12.04302978515625, 19.24449348449707, 21.939605712890625, -12.005922317504883]","[166.6571044921875, 151.7640380859375, 178.7950439453125, 153.8529052734375, 180.8839111328125, 168.745849609375]",0
39,"[-8.917016983032227, -20.157365798950195, -14.50862979888916, -14.767037391662598, -14.422826766967773, -17.277912139892578, -17.585641860961914, -6.164112567901611, -8.917016983032227, -17.585641860961914, -17.372865676879883, -17.277912139892578, -20.157365798950195]","[2.6850435733795166, 5.180805683135986, -4.047043800354004, -2.968757390975952, -4.342923164367676, -4.8195085525512695, -3.5354080200195312, 1.8561040163040161, 2.6850435733795166, -3.5354080200195312, 4.465138912200928, -4.8195085525512695, 5.180805683135986]","[165.2620849609375, 166.6571044921875, 151.7640380859375, 151.7640380859375, 178.794921875, 180.1900634765625, 180.1900634765625, 155.2479248046875, 182.2789306640625, 167.3509521484375, 153.8529052734375, 167.3509521484375, 180.8839111328125]",0
40,"[5.847273826599121, 6.4336090087890625, 9.253640174865723, 4.813833713531494, 3.5435731410980225, 17.37558364868164, 19.775814056396484, 4.094076156616211, 19.775814056396484, 17.37558364868164, 6.431562900543213, 5.858239650726318, 6.4336090087890625, 26.019821166992188]","[2.69273042678833, 0.22378826141357422, 1.0453729629516602, -4.274156093597412, -5.374429702758789, -11.456406593322754, -13.038972854614258, -4.967891693115234, -13.038972854614258, -11.456406593322754, -0.27641502022743225, 2.6687889099121094, 0.22378826141357422, -5.341841697692871]","[178.7950439453125, 178.7950439453125, 178.7950439453125, 151.76171875, 178.7928466796875, 153.1590576171875, 180.1900634765625, 168.7435302734375, 167.3509521484375, 167.350830078125, 155.2479248046875, 168.7459716796875, 168.7459716796875, 180.8819580078125]",0
41,"[-2.428645133972168, -1.2688050270080566, -5.684189796447754, 1.6788620948791504, -1.7042701244354248, -2.428645133972168, -3.950165271759033, -5.684189796447754, 1.6788620948791504, 2.428645133972168]","[8.990235328674316, 6.31122350692749, -7.376492500305176, -6.21472692489624, 6.2078070640563965, 8.990235328674316, -5.083070278167725, -7.376492500305176, -6.21472692489624, -8.990235328674316]","[165.2620849609375, 165.2620849609375, 165.2620849609375, 165.2620849609375, 155.2479248046875, 182.2789306640625, 155.2479248046875, 182.2789306640625, 155.2479248046875, 182.2789306640625]",0
